caseid,task,user,end_timestamp
0,Confirmation of receipt,Resource21,2011-10-11T11:45:40.276000
0,T02 Check confirmation of receipt,Resource10,2011-10-12T06:26:25.398000
0,T03 Adjust confirmation of receipt,Resource21,2011-11-24T14:36:51.302000
0,T02 Check confirmation of receipt,Resource21,2011-11-24T14:37:16.553000
1,Confirmation of receipt,Resource30,2011-10-18T11:46:39.679000
1,T06 Determine necessity of stop advice,Resource30,2011-10-18T11:47:06.950000
1,T02 Check confirmation of receipt,Resource30,2011-10-18T11:47:26.235000
1,T03 Adjust confirmation of receipt,Resource30,2011-10-18T11:47:41.811000
1,T02 Check confirmation of receipt,Resource30,2011-10-18T11:47:57.979000
1,T10 Determine necessity to stop indication,Resource30,2011-10-18T11:48:15.357000
1,T03 Adjust confirmation of receipt,Resource30,2011-10-18T11:48:30.632000
1,T02 Check confirmation of receipt,Resource30,2011-10-18T11:51:01.525000
1,T03 Adjust confirmation of receipt,admin2,2011-10-18T11:56:57.603000
2,Confirmation of receipt,Resource03,2011-10-18T13:53:19.732000
2,T02 Check confirmation of receipt,Resource03,2011-10-18T13:53:38.108000
2,T04 Determine confirmation of receipt,Resource03,2011-10-18T13:53:53.778000
2,T05 Print and send confirmation of receipt,Resource03,2011-10-18T13:54:06.717000
2,T06 Determine necessity of stop advice,Resource03,2011-10-18T13:54:24.121000
2,T10 Determine necessity to stop indication,Resource03,2011-10-18T13:57:18.847000
3,Confirmation of receipt,Resource03,2011-10-25T07:27:08.484000
3,T02 Check confirmation of receipt,Resource03,2011-10-25T07:27:27.316000
3,T04 Determine confirmation of receipt,Resource03,2011-10-25T07:27:46.307000
3,T05 Print and send confirmation of receipt,Resource03,2011-10-25T07:28:00.504000
3,T06 Determine necessity of stop advice,Resource03,2011-10-25T07:28:15.484000
3,T10 Determine necessity to stop indication,Resource03,2011-10-25T07:28:33.002000
4,Confirmation of receipt,Resource03,2011-10-25T12:13:10.744000
4,T02 Check confirmation of receipt,Resource03,2011-10-25T12:13:31.837000
4,T04 Determine confirmation of receipt,Resource03,2011-10-25T12:13:49.542000
4,T05 Print and send confirmation of receipt,Resource03,2011-10-25T12:14:24.249000
4,T06 Determine necessity of stop advice,Resource03,2011-10-25T12:22:15.239000
4,T10 Determine necessity to stop indication,Resource03,2011-10-25T12:23:06.272000
4,T16 Report reasons to hold request,Resource03,2011-10-25T12:23:58.755000
4,T17 Check report Y to stop indication,Resource03,2011-10-25T12:24:22.922000
4,T19 Determine report Y to stop indication,Resource03,2011-10-25T12:24:55.079000
4,T20 Print report Y to stop indication,Resource03,2011-10-25T12:25:10.989000
5,Confirmation of receipt,Resource06,2011-10-17T13:31:27.570000
5,T02 Check confirmation of receipt,Resource06,2011-10-17T13:31:51.615000
5,T04 Determine confirmation of receipt,Resource06,2011-10-17T13:32:34.591000
5,T05 Print and send confirmation of receipt,Resource06,2011-10-17T13:33:42.796000
5,T06 Determine necessity of stop advice,Resource06,2011-10-17T13:34:25.518000
5,T10 Determine necessity to stop indication,Resource06,2011-10-17T13:41:19.472000
6,Confirmation of receipt,Resource03,2011-10-24T13:00:50.433000
6,T06 Determine necessity of stop advice,Resource03,2011-10-24T13:01:21.907000
6,T10 Determine necessity to stop indication,Resource03,2011-10-24T13:01:44.536000
6,T02 Check confirmation of receipt,Resource03,2011-10-24T13:01:59.826000
6,T04 Determine confirmation of receipt,Resource03,2011-10-24T13:02:16.227000
6,T05 Print and send confirmation of receipt,Resource03,2011-10-24T13:02:32.399000
7,Confirmation of receipt,admin2,2011-10-18T11:34:39.087000
8,Confirmation of receipt,Resource06,2011-10-28T08:31:29.136000
8,T02 Check confirmation of receipt,Resource06,2011-10-28T08:31:49.811000
8,T04 Determine confirmation of receipt,Resource06,2011-10-28T08:32:08.374000
8,T05 Print and send confirmation of receipt,Resource06,2011-10-28T08:32:49.753000
8,T06 Determine necessity of stop advice,Resource06,2011-10-28T08:45:06.394000
8,T10 Determine necessity to stop indication,Resource06,2011-10-28T09:01:50.118000
9,Confirmation of receipt,Resource22,2011-11-22T12:46:36.256000
