caseid,task,end_timestamp
0,cev.CEV()+start,2017-02-13T14:50:51.610000
0,cev.ErrorLog()+start,2017-02-13T14:50:51.613000
0,cev.ErrorLog()+complete,2017-02-13T14:50:51.613000
0,cev.Failures(cev.ErrorLog)+start,2017-02-13T14:50:51.617000
0,"cev.Failures$Type(java.lang.String,int)+start",2017-02-13T14:50:51.621000
0,"cev.Failures$Type(java.lang.String,int)+complete",2017-02-13T14:50:51.622000
0,"cev.Failures$Type(java.lang.String,int)+start",2017-02-13T14:50:51.622000
0,"cev.Failures$Type(java.lang.String,int)+complete",2017-02-13T14:50:51.622000
0,"cev.Failures$Type(java.lang.String,int)+start",2017-02-13T14:50:51.622000
0,"cev.Failures$Type(java.lang.String,int)+complete",2017-02-13T14:50:51.622000
0,"cev.Failures$Type(java.lang.String,int)+start",2017-02-13T14:50:51.622000
0,"cev.Failures$Type(java.lang.String,int)+complete",2017-02-13T14:50:51.622000
0,cev.Failures$Type.values()+start,2017-02-13T14:50:51.622000
0,cev.Failures$Type.values()+complete,2017-02-13T14:50:51.622000
0,cev.Failures(cev.ErrorLog)+complete,2017-02-13T14:50:51.623000
0,"cev.Spacecraft(cev.Failures,cev.ErrorLog)+start",2017-02-13T14:50:51.647000
0,"cev.Spacecraft(cev.Failures,cev.ErrorLog)+complete",2017-02-13T14:50:51.647000
0,cev.CEV()+complete,2017-02-13T14:50:51.647000
0,cev.CEV.tliBurn()+start,2017-02-13T14:50:51.647000
0,cev.Spacecraft.readyForTliBurn()+start,2017-02-13T14:50:51.648000
0,cev.ErrorLog.log(java.lang.String)+start,2017-02-13T14:50:51.648000
0,cev.ErrorLog.log(java.lang.String)+complete,2017-02-13T14:50:51.648000
0,cev.Spacecraft.readyForTliBurn()+complete,2017-02-13T14:50:51.648000
0,cev.ErrorLog.last()+start,2017-02-13T14:50:51.648000
0,cev.ErrorLog.last()+complete,2017-02-13T14:50:51.648000
0,cev.CEV.tliBurn()+complete,2017-02-13T14:50:51.648000
1,cev.CEV()+start,2017-02-13T14:50:51.650000
1,cev.ErrorLog()+start,2017-02-13T14:50:51.650000
1,cev.ErrorLog()+complete,2017-02-13T14:50:51.650000
1,cev.Failures(cev.ErrorLog)+start,2017-02-13T14:50:51.650000
1,cev.Failures(cev.ErrorLog)+complete,2017-02-13T14:50:51.650000
1,"cev.Spacecraft(cev.Failures,cev.ErrorLog)+start",2017-02-13T14:50:51.651000
1,"cev.Spacecraft(cev.Failures,cev.ErrorLog)+complete",2017-02-13T14:50:51.651000
1,cev.CEV()+complete,2017-02-13T14:50:51.651000
1,cev.CEV.completion()+start,2017-02-13T14:50:51.651000
1,cev.Failures.noLAS_CNTRLfailure()+start,2017-02-13T14:50:51.651000
1,cev.Failures.noLAS_CNTRLfailure()+complete,2017-02-13T14:50:51.651000
1,cev.Spacecraft.doLowActiveAbort()+start,2017-02-13T14:50:51.651000
1,cev.Spacecraft.doLowActiveAbort()+complete,2017-02-13T14:50:51.651000
1,cev.Failures.noEARTH_SENSORfailure()+start,2017-02-13T14:50:51.651000
1,cev.Failures.noEARTH_SENSORfailure()+complete,2017-02-13T14:50:51.651000
1,cev.CEV.completion()+complete,2017-02-13T14:50:51.651000
1,cev.CEV.lsamRendezvous()+start,2017-02-13T14:50:51.651000
1,cev.Spacecraft.readyForLSAMrendezvous()+start,2017-02-13T14:50:51.652000
1,cev.Spacecraft.readyForLSAMrendezvous()+complete,2017-02-13T14:50:51.652000
1,cev.Spacecraft.doLSAMrendezvous()+start,2017-02-13T14:50:51.652000
1,cev.Spacecraft.doLSAMrendezvous()+complete,2017-02-13T14:50:51.652000
1,cev.CEV.lsamRendezvous()+complete,2017-02-13T14:50:51.652000
2,cev.CEV()+start,2017-02-13T14:50:51.653000
2,cev.ErrorLog()+start,2017-02-13T14:50:51.653000
2,cev.ErrorLog()+complete,2017-02-13T14:50:51.653000
2,cev.Failures(cev.ErrorLog)+start,2017-02-13T14:50:51.653000
