caseid,task,user,end_timestamp
0,W_Completeren aanvraag,UNK,2011-10-01T09:45:13.917000
0,W_Nabellen offertes,UNK,2011-10-01T10:17:08.924000
0,W_Nabellen offertes,10913.0,2011-10-08T14:32:00.886000
0,W_Nabellen offertes,11049.0,2011-10-10T09:33:05.791000
0,W_Valideren aanvraag,10629.0,2011-10-13T08:37:37.026000
1,W_Completeren aanvraag,UNK,2011-10-01T09:43:13.178000
1,W_Completeren aanvraag,UNK,2011-10-01T12:35:48.791000
1,W_Nabellen offertes,UNK,2011-10-01T12:36:25.794000
1,W_Nabellen offertes,UNK,2011-10-03T14:56:21.195000
1,W_Nabellen offertes,UNK,2011-10-03T14:57:16.563000
1,W_Nabellen offertes,11049.0,2011-10-10T08:14:45.514000
1,W_Valideren aanvraag,10809.0,2011-10-10T09:30:54.893000
1,W_Valideren aanvraag,10809.0,2011-10-10T12:14:13.394000
1,W_Valideren aanvraag,10809.0,2011-10-10T12:17:34.633000
2,W_Completeren aanvraag,10912.0,2011-10-01T09:35:59.637000
2,W_Completeren aanvraag,UNK,2011-10-03T09:21:22.417000
2,W_Completeren aanvraag,11201.0,2011-10-03T11:32:43.313000
2,W_Completeren aanvraag,11201.0,2011-10-03T11:40:17.062000
2,W_Nabellen offertes,11201.0,2011-10-03T11:44:21.261000
2,W_Nabellen offertes,UNK,2011-10-10T14:47:18.803000
2,W_Nabellen offertes,11119.0,2011-10-10T17:34:36.027000
2,W_Nabellen offertes,10912.0,2011-10-14T16:16:42.245000
2,W_Nabellen offertes,10861.0,2011-10-17T17:43:57.774000
2,W_Nabellen offertes,UNK,2011-10-25T08:50:48.186000
2,W_Nabellen offertes,11203.0,2011-10-26T16:50:22.004000
2,W_Nabellen offertes,11181.0,2011-10-29T10:41:29.569000
2,W_Nabellen offertes,11189.0,2011-11-01T13:55:35.020000
2,W_Nabellen offertes,11119.0,2011-11-01T16:21:02.356000
2,W_Nabellen offertes,11049.0,2011-11-02T08:15:18.683000
2,W_Valideren aanvraag,10609.0,2011-11-04T15:05:01.532000
3,W_Completeren aanvraag,10912.0,2011-10-01T09:40:24.141000
3,W_Completeren aanvraag,10912.0,2011-10-01T11:02:12.557000
4,W_Afhandelen leads,10912.0,2011-10-01T08:16:49.843000
4,W_Completeren aanvraag,10912.0,2011-10-01T09:50:14.483000
4,W_Completeren aanvraag,10912.0,2011-10-01T09:53:55.769000
4,W_Completeren aanvraag,UNK,2011-10-01T13:00:02.537000
5,W_Completeren aanvraag,10912.0,2011-10-01T08:27:07.853000
5,W_Completeren aanvraag,10912.0,2011-10-01T09:43:02.623000
5,W_Completeren aanvraag,10982.0,2011-10-10T15:43:13.290000
5,W_Completeren aanvraag,10982.0,2011-11-01T08:15:08.331000
8,W_Completeren aanvraag,UNK,2011-10-01T08:44:43.954000
8,W_Nabellen offertes,UNK,2011-10-01T08:44:58.974000
8,W_Nabellen offertes,UNK,2011-10-01T08:46:56.631000
8,W_Nabellen offertes,UNK,2011-10-01T08:50:20.533000
8,W_Nabellen offertes,UNK,2011-10-01T08:50:34.704000
8,W_Nabellen offertes,11002.0,2011-10-08T14:31:37.972000
8,W_Nabellen offertes,11049.0,2011-10-10T08:55:07.452000
8,W_Valideren aanvraag,10629.0,2011-10-13T10:36:12.529000
8,W_Nabellen incomplete dossiers,UNK,2011-10-13T11:05:42.290000
8,W_Nabellen incomplete dossiers,10629.0,2011-10-13T11:53:16.314000
8,W_Nabellen incomplete dossiers,11122.0,2011-10-13T15:12:01.909000
8,W_Nabellen incomplete dossiers,11122.0,2011-10-13T15:14:13.926000
8,W_Nabellen incomplete dossiers,11122.0,2011-10-13T15:14:26.112000
8,W_Nabellen incomplete dossiers,10913.0,2011-10-15T13:17:31.488000
8,W_Nabellen incomplete dossiers,10913.0,2011-10-15T14:56:14.624000
8,W_Nabellen incomplete dossiers,UNK,2011-10-17T11:32:51.911000
8,W_Nabellen incomplete dossiers,UNK,2011-10-17T12:28:36.881000
8,W_Nabellen incomplete dossiers,10889.0,2011-10-18T14:46:24.246000
8,W_Nabellen incomplete dossiers,11002.0,2011-10-18T15:46:34.802000
8,W_Valideren aanvraag,10972.0,2011-10-19T06:53:21.372000
8,W_Nabellen incomplete dossiers,UNK,2011-10-19T07:17:01.695000
8,W_Nabellen incomplete dossiers,UNK,2011-10-19T07:24:19.095000
8,W_Nabellen incomplete dossiers,11049.0,2011-10-20T07:30:32.963000
8,W_Nabellen incomplete dossiers,11121.0,2011-10-24T13:24:55.532000
8,W_Nabellen incomplete dossiers,UNK,2011-10-26T06:12:38.415000
8,W_Valideren aanvraag,10972.0,2011-10-27T07:18:01.790000
9,W_Completeren aanvraag,10939.0,2011-10-01T09:20:50.335000
9,W_Nabellen offertes,10939.0,2011-10-01T09:22:52.458000
9,W_Nabellen offertes,10939.0,2011-10-01T09:32:54.371000
9,W_Nabellen offertes,UNK,2011-10-04T12:47:39.633000
9,W_Nabellen offertes,UNK,2011-10-06T07:49:47.774000
9,W_Valideren aanvraag,10609.0,2011-10-10T08:06:09.471000
9,W_Nabellen incomplete dossiers,10912.0,2011-10-10T08:20:04.927000
9,W_Nabellen incomplete dossiers,10912.0,2011-10-10T09:42:32.977000
9,W_Nabellen incomplete dossiers,UNK,2011-10-10T12:22:14.231000
9,W_Nabellen incomplete dossiers,11009.0,2011-10-10T14:28:29.918000
10,W_Afhandelen leads,10912.0,2011-10-01T10:12:27.600000
10,W_Afhandelen leads,10939.0,2011-10-01T10:20:55.527000
10,W_Completeren aanvraag,10912.0,2011-10-01T11:27:08.763000
10,W_Completeren aanvraag,UNK,2011-10-01T12:02:01.804000
10,W_Completeren aanvraag,11000.0,2011-10-01T13:15:17.707000
10,W_Completeren aanvraag,UNK,2011-10-03T09:33:42.129000
10,W_Completeren aanvraag,11201.0,2011-10-03T13:48:20.505000
11,W_Completeren aanvraag,10912.0,2011-10-01T11:55:31.990000
11,W_Completeren aanvraag,11203.0,2011-10-01T13:15:12.440000
11,W_Completeren aanvraag,11203.0,2011-10-01T13:31:19.388000
11,W_Completeren aanvraag,11203.0,2011-10-01T13:40:12.281000
11,W_Nabellen offertes,11203.0,2011-10-01T13:48:39.764000
11,W_Nabellen offertes,10913.0,2011-10-08T14:20:20.579000
11,W_Nabellen offertes,UNK,2011-10-10T18:49:26.790000
11,W_Nabellen offertes,UNK,2011-10-11T08:47:04.332000
11,W_Nabellen offertes,10863.0,2011-10-11T17:55:07.690000
11,W_Nabellen offertes,11180.0,2011-10-12T13:37:20.679000
11,W_Nabellen offertes,11180.0,2011-10-13T16:35:43.994000
11,W_Nabellen offertes,UNK,2011-10-14T08:21:10.086000
11,W_Valideren aanvraag,10809.0,2011-10-19T11:20:05.181000
11,W_Nabellen incomplete dossiers,UNK,2011-10-19T11:32:57.273000
11,W_Nabellen incomplete dossiers,UNK,2011-10-19T11:36:44.465000
11,W_Nabellen incomplete dossiers,11122.0,2011-10-19T17:11:47.711000
11,W_Nabellen incomplete dossiers,UNK,2011-10-20T06:10:36.080000
11,W_Valideren aanvraag,10972.0,2011-10-20T08:08:56.355000
11,W_Nabellen incomplete dossiers,11169.0,2011-10-20T08:27:48.591000
11,W_Nabellen incomplete dossiers,UNK,2011-10-20T08:45:06.646000
11,W_Valideren aanvraag,10972.0,2011-10-20T10:00:47.010000
11,W_Nabellen incomplete dossiers,11169.0,2011-10-20T10:32:33.048000
11,W_Nabellen incomplete dossiers,10972.0,2011-10-20T11:52:22.540000
11,W_Nabellen incomplete dossiers,11049.0,2011-10-20T14:25:42.079000
11,W_Valideren aanvraag,10972.0,2011-10-21T04:15:05.392000
11,W_Valideren aanvraag,10809.0,2011-10-21T07:05:10.854000
11,W_Valideren aanvraag,10972.0,2011-10-21T07:08:21.511000
12,W_Afhandelen leads,10939.0,2011-10-01T12:54:56.346000
13,W_Completeren aanvraag,11019.0,2011-10-01T13:40:09.622000
13,W_Completeren aanvraag,11203.0,2011-10-01T13:55:45.029000
13,W_Completeren aanvraag,11203.0,2011-10-01T14:05:28.909000
13,W_Nabellen offertes,10982.0,2011-10-04T10:59:22.813000
13,W_Nabellen offertes,10899.0,2011-10-10T11:34:00.234000
13,W_Valideren aanvraag,10138.0,2011-10-13T08:49:09.254000
13,W_Nabellen incomplete dossiers,UNK,2011-10-13T09:03:37.264000
13,W_Nabellen incomplete dossiers,UNK,2011-10-13T09:06:33.365000
13,W_Nabellen incomplete dossiers,UNK,2011-10-13T09:08:21.054000
13,W_Nabellen incomplete dossiers,11169.0,2011-10-13T09:36:55.756000
13,W_Nabellen incomplete dossiers,UNK,2011-10-13T10:16:30.523000
13,W_Nabellen incomplete dossiers,UNK,2011-10-18T08:20:38.657000
13,W_Valideren aanvraag,10809.0,2011-10-18T10:01:37.810000
14,W_Completeren aanvraag,11000.0,2011-10-01T13:27:27.909000
14,W_Completeren aanvraag,UNK,2011-10-01T13:42:01.062000
14,W_Completeren aanvraag,11000.0,2011-10-01T13:56:43.006000
14,W_Nabellen offertes,11000.0,2011-10-01T14:00:21.937000
14,W_Nabellen offertes,11000.0,2011-10-08T13:32:48.196000
14,W_Nabellen offertes,UNK,2011-10-11T08:19:14.044000
14,W_Valideren aanvraag,10609.0,2011-10-13T11:12:26.149000
14,W_Valideren aanvraag,10629.0,2011-10-13T13:04:19.365000
14,W_Nabellen incomplete dossiers,10939.0,2011-10-13T18:01:47.622000
14,W_Nabellen incomplete dossiers,11019.0,2011-10-14T08:06:41.548000
14,W_Nabellen incomplete dossiers,UNK,2011-10-14T11:19:58.402000
14,W_Nabellen incomplete dossiers,UNK,2011-10-14T11:37:05.114000
14,W_Nabellen incomplete dossiers,11000.0,2011-10-14T12:05:18.189000
14,W_Nabellen incomplete dossiers,UNK,2011-10-14T13:49:18.747000
14,W_Valideren aanvraag,10629.0,2011-10-14T14:22:55.654000
15,W_Afhandelen leads,10939.0,2011-10-01T12:56:22.258000
15,W_Completeren aanvraag,UNK,2011-10-01T13:50:01.022000
15,W_Completeren aanvraag,11180.0,2011-10-03T10:56:17.811000
15,W_Completeren aanvraag,11201.0,2011-10-03T13:55:10.703000
