caseid,task,user,end_timestamp
0,Confirmation of receipt,Resource21,2011-10-11T11:45:40.276000
0,T02 Check confirmation of receipt,Resource10,2011-10-12T06:26:25.398000
0,T03 Adjust confirmation of receipt,Resource21,2011-11-24T14:36:51.302000
0,T02 Check confirmation of receipt,Resource21,2011-11-24T14:37:16.553000
2,Confirmation of receipt,Resource03,2011-10-18T13:53:19.732000
2,T02 Check confirmation of receipt,Resource03,2011-10-18T13:53:38.108000
2,T04 Determine confirmation of receipt,Resource03,2011-10-18T13:53:53.778000
2,T05 Print and send confirmation of receipt,Resource03,2011-10-18T13:54:06.717000
2,T06 Determine necessity of stop advice,Resource03,2011-10-18T13:54:24.121000
2,T10 Determine necessity to stop indication,Resource03,2011-10-18T13:57:18.847000
3,Confirmation of receipt,Resource03,2011-10-25T07:27:08.484000
3,T02 Check confirmation of receipt,Resource03,2011-10-25T07:27:27.316000
3,T04 Determine confirmation of receipt,Resource03,2011-10-25T07:27:46.307000
3,T05 Print and send confirmation of receipt,Resource03,2011-10-25T07:28:00.504000
3,T06 Determine necessity of stop advice,Resource03,2011-10-25T07:28:15.484000
3,T10 Determine necessity to stop indication,Resource03,2011-10-25T07:28:33.002000
4,Confirmation of receipt,Resource03,2011-10-25T12:13:10.744000
4,T02 Check confirmation of receipt,Resource03,2011-10-25T12:13:31.837000
4,T04 Determine confirmation of receipt,Resource03,2011-10-25T12:13:49.542000
4,T05 Print and send confirmation of receipt,Resource03,2011-10-25T12:14:24.249000
4,T06 Determine necessity of stop advice,Resource03,2011-10-25T12:22:15.239000
4,T10 Determine necessity to stop indication,Resource03,2011-10-25T12:23:06.272000
4,T16 Report reasons to hold request,Resource03,2011-10-25T12:23:58.755000
4,T17 Check report Y to stop indication,Resource03,2011-10-25T12:24:22.922000
4,T19 Determine report Y to stop indication,Resource03,2011-10-25T12:24:55.079000
4,T20 Print report Y to stop indication,Resource03,2011-10-25T12:25:10.989000
5,Confirmation of receipt,Resource06,2011-10-17T13:31:27.570000
5,T02 Check confirmation of receipt,Resource06,2011-10-17T13:31:51.615000
5,T04 Determine confirmation of receipt,Resource06,2011-10-17T13:32:34.591000
5,T05 Print and send confirmation of receipt,Resource06,2011-10-17T13:33:42.796000
5,T06 Determine necessity of stop advice,Resource06,2011-10-17T13:34:25.518000
5,T10 Determine necessity to stop indication,Resource06,2011-10-17T13:41:19.472000
6,Confirmation of receipt,Resource03,2011-10-24T13:00:50.433000
6,T06 Determine necessity of stop advice,Resource03,2011-10-24T13:01:21.907000
6,T10 Determine necessity to stop indication,Resource03,2011-10-24T13:01:44.536000
6,T02 Check confirmation of receipt,Resource03,2011-10-24T13:01:59.826000
6,T04 Determine confirmation of receipt,Resource03,2011-10-24T13:02:16.227000
6,T05 Print and send confirmation of receipt,Resource03,2011-10-24T13:02:32.399000
7,Confirmation of receipt,admin2,2011-10-18T11:34:39.087000
9,Confirmation of receipt,Resource22,2011-11-22T12:46:36.256000
9,T02 Check confirmation of receipt,Resource22,2011-11-22T12:48:39.989000
9,T04 Determine confirmation of receipt,Resource22,2011-11-22T12:49:21.982000
9,T05 Print and send confirmation of receipt,Resource22,2011-11-22T12:52:51.629000
9,T06 Determine necessity of stop advice,Resource22,2011-11-22T12:57:59.101000
9,T10 Determine necessity to stop indication,Resource22,2011-11-22T12:59:50.916000
10,Confirmation of receipt,Resource13,2011-11-09T19:39:03.392000
10,T02 Check confirmation of receipt,Resource13,2011-11-09T19:39:34.137000
10,T04 Determine confirmation of receipt,Resource13,2011-11-09T19:40:02.334000
10,T05 Print and send confirmation of receipt,Resource13,2011-11-09T19:40:26.677000
10,T06 Determine necessity of stop advice,Resource13,2011-11-09T19:40:49.698000
10,T10 Determine necessity to stop indication,Resource13,2011-11-09T19:41:13.745000
11,Confirmation of receipt,Resource20,2011-10-20T10:39:37.946000
11,T02 Check confirmation of receipt,Resource20,2011-10-20T10:40:07.912000
11,T04 Determine confirmation of receipt,Resource20,2011-10-20T10:40:31.903000
11,T05 Print and send confirmation of receipt,Resource20,2011-10-20T10:41:02.031000
