CaseID,ActivityID,CompleteTimestamp
0,9,2011-09-30 22:38:44
0,6,2011-09-30 22:38:44
0,7,2011-09-30 22:39:37
0,0,2011-10-01 09:42:43
0,5,2011-10-01 09:45:09
0,8,2011-10-13 08:37:29
0,2,2011-10-13 08:37:29
0,1,2011-10-13 08:37:29
1,9,2011-10-01 06:08:58
1,6,2011-10-01 06:09:02
1,7,2011-10-01 06:09:56
1,0,2011-10-01 12:33:54
1,5,2011-10-01 12:35:46
1,2,2011-10-10 12:17:26
1,8,2011-10-10 12:17:26
1,1,2011-10-10 12:17:26
2,9,2011-10-01 06:10:30
2,6,2011-10-01 06:10:30
2,7,2011-10-01 06:11:13
2,0,2011-10-03 11:34:25
2,5,2011-10-03 11:40:14
2,2,2011-11-04 15:04:52
2,8,2011-11-04 15:04:52
2,1,2011-11-04 15:04:52
3,9,2011-10-01 06:11:08
3,6,2011-10-01 06:11:09
3,4,2011-10-01 06:11:46
4,9,2011-10-01 06:15:39
4,6,2011-10-01 06:15:40
4,4,2011-10-01 06:16:21
5,9,2011-10-01 07:45:25
5,6,2011-10-01 07:45:25
5,7,2011-10-01 07:46:18
5,3,2011-10-01 11:02:11
6,9,2011-10-01 07:45:37
6,6,2011-10-01 07:45:37
6,7,2011-10-01 08:16:48
6,4,2011-10-01 12:59:58
7,9,2011-10-01 07:57:42
7,6,2011-10-01 07:57:43
7,7,2011-10-01 07:58:27
7,3,2011-11-01 08:15:08
8,9,2011-10-01 07:58:30
8,6,2011-10-01 07:58:30
8,7,2011-10-01 08:10:24
8,3,2011-10-03 12:42:53
9,9,2011-10-01 07:59:10
9,6,2011-10-01 07:59:10
9,7,2011-10-01 07:59:42
9,0,2011-10-01 10:24:32
9,5,2011-10-01 10:30:20
9,4,2011-10-13 09:05:24
11,9,2011-10-01 09:07:34
11,6,2011-10-01 09:07:34
11,7,2011-10-01 09:08:17
11,0,2011-10-01 09:18:36
11,5,2011-10-01 09:20:47
11,4,2011-10-10 14:28:25
13,9,2011-10-01 10:08:46
13,6,2011-10-01 10:08:46
13,4,2011-10-01 10:09:30
14,9,2011-10-01 10:36:08
14,6,2011-10-01 10:36:09
14,7,2011-10-01 10:36:59
14,0,2011-10-01 13:36:06
14,5,2011-10-01 13:40:08
14,1,2011-10-21 07:08:14
14,8,2011-10-21 07:08:14
14,2,2011-10-21 07:08:14
15,9,2011-10-01 10:39:34
15,6,2011-10-01 10:39:34
15,4,2011-10-01 12:54:53
16,9,2011-10-01 11:01:58
16,6,2011-10-01 11:01:59
16,7,2011-10-01 11:02:44
16,0,2011-10-01 14:00:15
16,5,2011-10-01 14:05:26
16,2,2011-10-18 10:01:28
16,8,2011-10-18 10:01:28
16,1,2011-10-18 10:01:28
17,9,2011-10-01 11:12:58
17,6,2011-10-01 11:12:58
17,7,2011-10-01 11:13:42
17,0,2011-10-01 13:54:11
17,5,2011-10-01 13:56:39
17,8,2011-10-14 14:22:47
17,2,2011-10-14 14:22:47
17,1,2011-10-14 14:22:47
18,9,2011-10-01 11:44:12
18,6,2011-10-01 11:44:12
18,7,2011-10-01 12:56:21
18,4,2011-10-14 13:52:04
19,9,2011-10-01 12:08:16
19,6,2011-10-01 12:08:16
19,7,2011-10-01 13:21:26
19,0,2011-10-01 13:55:33
19,5,2011-10-01 13:58:41
19,3,2011-10-08 10:45:57
21,9,2011-10-01 12:14:39
21,6,2011-10-01 12:14:39
21,7,2011-10-01 12:15:21
21,0,2011-10-01 14:43:08
21,5,2011-10-01 14:49:59
21,8,2011-10-11 08:39:30
21,1,2011-10-11 08:39:30
21,2,2011-10-11 08:39:30
22,9,2011-10-01 12:50:09
22,6,2011-10-01 12:50:11
22,7,2011-10-01 12:50:51
22,4,2011-10-14 12:28:39
24,9,2011-10-01 13:15:17
24,6,2011-10-01 13:15:17
24,7,2011-10-01 13:15:57
24,0,2011-10-01 13:56:34
24,5,2011-10-01 14:01:43
24,2,2011-10-14 13:41:03
24,1,2011-10-14 13:41:03
24,8,2011-10-14 13:41:03
25,9,2011-10-01 14:09:22
25,6,2011-10-01 14:09:23
25,4,2011-10-01 14:38:40
26,9,2011-10-01 14:12:02
26,6,2011-10-01 14:12:02
26,7,2011-10-01 14:12:45
26,3,2011-10-06 18:52:10
27,9,2011-10-01 14:34:46
27,6,2011-10-01 14:34:46
27,4,2011-10-01 14:35:23
28,9,2011-10-01 14:39:55
28,6,2011-10-01 14:39:55
28,4,2011-10-01 14:40:31
31,9,2011-10-01 16:10:34
31,6,2011-10-01 16:10:34
31,7,2011-10-01 16:11:13
31,4,2011-10-03 07:24:47
33,9,2011-10-01 17:06:01
33,6,2011-10-01 17:06:01
33,7,2011-10-01 17:06:46
33,0,2011-10-03 07:27:58
33,5,2011-10-03 07:31:07
33,3,2011-10-19 16:51:53
34,9,2011-10-01 17:14:15
34,6,2011-10-01 17:14:15
34,7,2011-10-01 17:14:57
34,0,2011-10-03 07:25:01
34,5,2011-10-03 07:26:10
34,2,2011-10-10 12:22:35
34,1,2011-10-10 12:22:35
34,8,2011-10-10 12:22:35
35,9,2011-10-01 17:32:46
35,6,2011-10-01 17:32:46
35,7,2011-10-01 17:33:28
35,0,2011-10-03 12:50:01
35,5,2011-10-03 12:53:19
35,8,2011-10-18 09:25:03
35,1,2011-10-18 09:25:03
35,2,2011-10-18 09:25:03
38,9,2011-10-01 18:35:21
38,6,2011-10-01 18:35:21
38,4,2011-10-03 07:07:15
39,9,2011-10-01 19:07:54
39,6,2011-10-01 19:07:54
39,7,2011-10-01 19:08:44
39,0,2011-10-03 07:50:56
39,5,2011-10-03 07:53:24
39,3,2011-11-03 08:15:16
40,9,2011-10-01 19:24:58
40,6,2011-10-01 19:24:59
40,4,2011-10-01 19:25:39
41,9,2011-10-01 20:59:29
41,6,2011-10-01 20:59:29
41,7,2011-10-03 07:09:14
41,0,2011-10-03 09:45:30
41,5,2011-10-03 09:47:47
41,3,2011-11-03 08:15:25
43,9,2011-10-01 22:57:28
43,6,2011-10-01 22:57:29
43,7,2011-10-01 22:58:15
43,0,2011-10-03 07:44:01
43,5,2011-10-03 07:52:38
43,4,2011-10-11 07:15:45
44,9,2011-10-01 23:39:06
44,6,2011-10-01 23:39:07
44,4,2011-10-01 23:39:50
47,9,2011-10-02 07:54:34
47,6,2011-10-02 07:54:34
47,7,2011-10-03 07:37:43
47,4,2011-10-03 07:38:47
48,9,2011-10-02 07:54:39
48,6,2011-10-02 07:54:40
48,4,2011-10-02 07:55:24
49,9,2011-10-02 08:20:29
49,6,2011-10-02 08:20:30
49,7,2011-10-02 08:21:19
49,0,2011-10-03 08:29:10
49,5,2011-10-03 08:35:59
49,3,2011-10-18 12:12:43
50,9,2011-10-02 08:52:41
50,6,2011-10-02 08:52:41
50,4,2011-10-02 08:53:22
51,9,2011-10-02 08:57:22
51,6,2011-10-02 08:57:22
51,7,2011-10-02 08:57:55
51,3,2011-10-04 11:59:20
52,9,2011-10-02 09:03:26
52,6,2011-10-02 09:03:26
52,7,2011-10-02 09:04:15
52,0,2011-10-03 11:15:57
52,5,2011-10-03 11:19:45
52,2,2011-10-11 12:57:01
52,8,2011-10-11 12:57:01
52,1,2011-10-11 12:57:01
53,9,2011-10-02 09:26:19
53,6,2011-10-02 09:26:19
53,7,2011-10-02 09:27:03
53,0,2011-10-03 08:19:34
53,5,2011-10-03 08:22:05
53,4,2011-10-12 08:52:11
54,9,2011-10-02 09:30:23
54,6,2011-10-02 09:30:23
54,4,2011-10-02 09:31:03
55,9,2011-10-02 09:33:24
55,6,2011-10-02 09:33:24
55,4,2011-10-02 09:33:58
59,9,2011-10-02 10:17:02
59,6,2011-10-02 10:17:02
59,4,2011-10-02 10:17:48
60,9,2011-10-02 10:24:18
60,6,2011-10-02 10:24:19
60,7,2011-10-02 10:25:03
60,0,2011-10-03 08:18:03
60,5,2011-10-03 08:21:41
60,4,2011-10-26 06:07:33
61,9,2011-10-02 11:05:34
61,6,2011-10-02 11:05:36
61,7,2011-10-02 11:06:18
61,0,2011-10-04 17:39:04
61,5,2011-10-04 17:40:46
61,4,2011-10-14 08:05:53
62,9,2011-10-02 11:10:37
62,6,2011-10-02 11:10:37
62,4,2011-10-02 11:10:40
63,9,2011-10-02 11:21:47
63,6,2011-10-02 11:21:47
63,4,2011-10-02 11:22:28
64,9,2011-10-02 11:24:15
64,6,2011-10-02 11:24:15
64,7,2011-10-03 07:31:45
64,0,2011-10-03 11:58:18
64,5,2011-10-03 12:00:45
64,2,2011-11-04 12:09:38
64,8,2011-11-04 12:09:38
64,1,2011-11-04 12:09:38
65,9,2011-10-02 11:46:35
65,6,2011-10-02 11:46:36
65,4,2011-10-02 11:46:38
66,9,2011-10-02 11:52:34
66,6,2011-10-02 11:52:34
66,4,2011-10-02 11:53:12
67,9,2011-10-02 12:42:12
67,6,2011-10-02 12:42:14
67,4,2011-10-03 07:36:30
68,9,2011-10-02 12:53:44
68,6,2011-10-02 12:53:45
68,4,2011-10-02 12:54:21
69,9,2011-10-02 14:03:10
69,6,2011-10-02 14:03:10
69,4,2011-10-02 14:03:50
70,9,2011-10-02 14:05:39
70,6,2011-10-02 14:05:40
70,7,2011-10-03 07:37:05
70,0,2011-10-03 14:50:37
70,5,2011-10-03 14:51:47
70,3,2011-10-13 18:00:46
71,9,2011-10-02 14:12:08
