CaseID,ActivityID,CompleteTimestamp
0,0,2011-10-11 11:45:40
0,1,2011-10-12 06:26:25
0,2,2011-11-24 14:36:51
0,1,2011-11-24 14:37:16
1,0,2011-10-18 11:46:39
1,5,2011-10-18 11:47:06
1,1,2011-10-18 11:47:26
1,2,2011-10-18 11:47:41
1,1,2011-10-18 11:47:57
1,16,2011-10-18 11:48:15
1,2,2011-10-18 11:48:30
1,1,2011-10-18 11:51:01
1,2,2011-10-18 11:56:57
2,0,2011-10-18 13:53:19
2,1,2011-10-18 13:53:38
2,3,2011-10-18 13:53:53
2,4,2011-10-18 13:54:06
2,5,2011-10-18 13:54:24
2,16,2011-10-18 13:57:18
4,0,2011-10-25 12:13:10
4,1,2011-10-25 12:13:31
4,3,2011-10-25 12:13:49
4,4,2011-10-25 12:14:24
4,5,2011-10-25 12:22:15
4,16,2011-10-25 12:23:06
4,22,2011-10-25 12:23:58
4,23,2011-10-25 12:24:22
4,25,2011-10-25 12:24:55
4,26,2011-10-25 12:25:10
6,0,2011-10-24 13:00:50
6,5,2011-10-24 13:01:21
6,16,2011-10-24 13:01:44
6,1,2011-10-24 13:01:59
6,3,2011-10-24 13:02:16
6,4,2011-10-24 13:02:32
7,0,2011-10-18 11:34:39
8,0,2011-10-28 08:31:29
8,1,2011-10-28 08:31:49
8,3,2011-10-28 08:32:08
8,4,2011-10-28 08:32:49
8,5,2011-10-28 08:45:06
8,16,2011-10-28 09:01:50
9,0,2011-11-22 12:46:36
9,1,2011-11-22 12:48:39
9,3,2011-11-22 12:49:21
9,4,2011-11-22 12:52:51
9,5,2011-11-22 12:57:59
9,16,2011-11-22 12:59:50
11,0,2011-10-20 10:39:37
11,1,2011-10-20 10:40:07
11,3,2011-10-20 10:40:31
11,4,2011-10-20 10:41:02
11,5,2011-10-20 10:41:28
11,16,2011-10-20 10:42:01
13,0,2011-11-09 18:43:25
13,5,2011-11-09 18:43:50
13,1,2011-11-09 18:44:27
13,3,2011-11-09 18:44:58
13,16,2011-11-09 18:45:21
13,4,2011-11-09 18:48:48
14,0,2011-10-19 07:56:55
14,1,2011-10-19 07:57:39
14,3,2011-10-19 07:58:15
14,4,2011-10-19 07:58:36
14,5,2011-10-19 07:58:54
14,16,2011-10-20 12:06:59
14,17,2012-01-18 08:48:33
14,18,2012-01-18 08:49:09
14,20,2012-01-18 08:49:44
14,21,2012-01-18 08:50:57
15,0,2011-10-31 10:09:14
15,1,2011-10-31 10:10:03
15,3,2011-10-31 10:10:37
15,4,2011-10-31 10:10:54
15,5,2011-10-31 10:36:38
15,16,2011-10-31 10:37:11
16,0,2011-11-29 13:28:08
16,1,2011-11-29 13:40:03
16,3,2011-11-29 13:40:32
16,4,2011-11-29 13:41:12
16,5,2011-11-29 13:42:10
16,6,2011-11-30 09:53:50
16,11,2011-11-30 09:54:46
16,12,2011-11-30 10:02:33
16,5,2011-11-30 10:04:28
16,16,2011-11-30 10:05:12
17,0,2011-10-20 09:57:52
18,0,2011-10-24 13:57:27
18,1,2011-10-24 13:57:45
18,3,2011-10-24 13:58:02
18,4,2011-10-24 13:58:19
18,5,2011-10-24 13:58:34
18,16,2011-10-24 13:58:55
19,0,2011-10-18 14:12:35
19,1,2011-10-18 14:14:00
19,3,2011-10-18 14:14:55
19,4,2011-10-18 14:15:26
19,5,2011-10-18 14:16:01
19,16,2011-10-18 14:16:30
19,17,2011-10-24 10:02:20
20,0,2011-10-24 14:25:16
20,1,2011-10-24 14:25:48
20,3,2011-10-24 14:26:08
20,4,2011-10-24 14:26:35
20,5,2011-10-24 14:27:22
20,16,2011-10-24 14:27:44
21,0,2011-10-25 13:07:27
21,1,2011-10-25 13:07:50
21,3,2011-10-25 13:08:07
21,4,2011-10-25 13:08:27
21,5,2011-10-25 13:08:48
21,16,2011-10-25 13:09:15
22,0,2011-11-14 08:26:07
23,0,2011-10-25 14:06:58
23,1,2011-10-25 14:07:20
23,3,2011-10-25 14:07:48
23,4,2011-10-25 14:08:23
23,5,2011-10-25 14:08:54
23,16,2011-10-25 14:09:21
24,0,2011-10-26 07:04:38
24,1,2011-10-26 07:04:58
24,3,2011-10-26 07:05:15
24,4,2011-10-26 07:05:29
24,5,2011-10-26 07:05:43
24,16,2011-10-26 07:07:16
25,0,2011-10-26 09:44:51
25,1,2011-10-26 09:45:23
25,3,2011-10-26 09:45:54
25,4,2011-10-26 09:46:16
25,5,2011-10-26 09:46:40
25,16,2011-10-26 09:47:15
26,0,2011-10-20 09:06:16
26,1,2011-10-27 11:46:27
26,3,2011-10-27 11:46:49
26,4,2011-10-27 13:11:16
26,5,2011-11-17 07:13:20
26,16,2011-11-17 07:14:21
27,0,2011-11-15 06:20:14
27,1,2011-11-15 06:20:38
27,3,2011-11-15 06:21:00
27,4,2011-11-15 06:21:22
27,5,2011-11-15 06:42:16
27,16,2011-11-15 06:42:43
28,0,2011-10-26 12:45:46
28,1,2011-10-26 12:46:05
28,3,2011-10-26 12:46:20
28,4,2011-10-26 12:46:39
28,5,2011-10-26 12:46:55
28,16,2011-10-26 12:47:17
29,0,2011-10-25 07:56:31
29,1,2011-10-25 07:57:00
29,3,2011-10-25 09:34:25
29,4,2011-10-25 09:34:46
29,5,2011-10-25 09:35:58
29,16,2011-10-25 11:45:05
30,0,2011-10-27 06:37:51
30,1,2011-10-27 06:38:11
30,3,2011-10-27 06:38:39
30,4,2011-10-27 06:39:02
30,5,2011-10-27 06:39:43
30,16,2011-10-27 06:40:03
32,0,2011-10-26 13:40:46
32,5,2011-10-26 13:41:05
