prediction,truth,similarity
"[3, 4, 6]","[3, 2, 3, 6]",0.5
[6],"[2, 3, 6]",0.33333333333333337
"[3, 6]","[3, 6]",1.0
[6],[6],1.0
[],[],1.0
"[3, 6]",[6],0.5
[],[],1.0
[6],[6],1.0
[],[],1.0
"[3, 6]","[3, 4, 6]",0.6666666666666667
"[4, 6]","[4, 6]",1.0
[6],[6],1.0
[],[],1.0
"[7, 3, 3, 2, 3, 6]","[3, 3, 6]",0.5
"[7, 3, 6]","[3, 6]",0.6666666666666667
[6],[6],1.0
[],[],1.0
"[3, 4, 6]",[6],0.33333333333333337
"[3, 3, 6]",[],0.0
[6],[6],1.0
[],[],1.0
[6],[6],1.0
[],[],1.0
"[2, 4, 6]",[6],0.33333333333333337
[],[],1.0
[6],[6],1.0
[],[],1.0
"[7, 3, 6]","[7, 3, 3, 6]",0.75
"[3, 6]","[3, 3, 6]",0.6666666666666667
[6],"[3, 6]",0.5
[6],[6],1.0
[],[],1.0
"[7, 3, 2, 3, 6]","[7, 3, 2, 3, 4, 3, 7, 3, 3, 2, 3, 6]",0.41666666666666663
"[3, 2, 3, 6]","[3, 2, 3, 4, 3, 7, 3, 3, 2, 3, 6]",0.36363636363636365
"[2, 3, 6]","[2, 3, 4, 3, 7, 3, 3, 2, 3, 6]",0.30000000000000004
"[3, 6]","[3, 4, 3, 7, 3, 3, 2, 3, 6]",0.2222222222222222
"[2, 3, 7, 3, 2, 3, 6]","[4, 3, 7, 3, 3, 2, 3, 6]",0.75
"[2, 3, 7, 3, 2, 3, 6]","[3, 7, 3, 3, 2, 3, 6]",0.7142857142857143
"[7, 3, 7, 3, 2, 3, 6]","[7, 3, 3, 2, 3, 6]",0.8571428571428572
"[3, 2, 3, 6]","[3, 3, 2, 3, 6]",0.8
[6],"[3, 2, 3, 6]",0.25
"[2, 2, 3, 6]","[2, 3, 6]",0.75
"[3, 6]","[3, 6]",1.0
[6],[6],1.0
[],[],1.0
"[3, 4, 6]",[6],0.33333333333333337
"[3, 3, 6]",[],0.0
"[6, 3, 6]","[4, 3, 4, 7, 3, 2, 2, 6]",0.25
"[6, 3, 7, 3, 6]","[3, 4, 7, 3, 2, 2, 6]",0.4285714285714286
"[6, 3, 6]","[4, 7, 3, 2, 2, 6]",0.33333333333333337
"[6, 3, 7, 3, 6]","[7, 3, 2, 2, 6]",0.4
"[3, 6]","[3, 2, 2, 6]",0.5
[6],"[2, 2, 6]",0.33333333333333337
[6],"[2, 6]",0.5
[6],[6],1.0
[],[],1.0
"[4, 6]",[6],0.5
"[3, 3, 6]",[],0.0
"[7, 3, 2, 4, 6]","[4, 7, 2, 3, 3, 3, 6, 3, 6, 3, 6]",0.2727272727272727
"[7, 3, 7, 3, 6]","[7, 2, 3, 3, 3, 6, 3, 6, 3, 6]",0.4
"[3, 7, 3, 6]","[2, 3, 3, 3, 6, 3, 6, 3, 6]",0.33333333333333337
"[7, 2, 7, 3, 3, 6]","[3, 3, 3, 6, 3, 6, 3, 6]",0.375
"[2, 6]","[3, 3, 6, 3, 6, 3, 6]",0.1428571428571429
"[2, 6]","[3, 6, 3, 6, 3, 6]",0.16666666666666663
"[2, 6]","[6, 3, 6, 3, 6]",0.19999999999999996
[],"[3, 6, 3, 6]",0.0
[6],"[6, 3, 6]",0.33333333333333337
[],"[3, 6]",0.0
[6],[6],1.0
[],[],1.0
"[7, 3, 2, 3, 6]","[7, 3, 2, 3, 6]",1.0
"[3, 2, 3, 6]","[3, 2, 3, 6]",1.0
"[2, 3, 6]","[2, 3, 6]",1.0
"[3, 6]","[3, 6]",1.0
[6],[6],1.0
[],[],1.0
[6],[6],1.0
[],[],1.0
"[7, 3, 6]","[3, 6]",0.6666666666666667
[6],[6],1.0
[],[],1.0
"[4, 3, 4, 3, 6]","[3, 6]",0.4
"[4, 3, 6]",[6],0.33333333333333337
[],[],1.0
"[7, 3, 2, 3, 6]","[7, 3, 2, 3, 6]",1.0
"[3, 2, 3, 6]","[3, 2, 3, 6]",1.0
"[2, 3, 6]","[2, 3, 6]",1.0
"[3, 6]","[3, 6]",1.0
[6],[6],1.0
[],[],1.0
[6],[6],1.0
[],[],1.0
"[3, 4, 7, 3, 6]","[4, 6]",0.4
"[7, 3, 7, 3, 6]",[6],0.19999999999999996
[],[],1.0
[6],[6],1.0
[],[],1.0
"[7, 3, 2, 6]","[7, 3, 4, 7, 3, 2, 3, 6]",0.5
"[3, 2, 6]","[3, 4, 7, 3, 2, 3, 6]",0.4285714285714286
"[2, 4, 6]","[4, 7, 3, 2, 3, 6]",0.33333333333333337
"[3, 2, 3, 2, 4, 6]","[7, 3, 2, 3, 6]",0.5
"[3, 2, 4, 6]","[3, 2, 3, 6]",0.75
"[2, 2, 3, 6]","[2, 3, 6]",0.75
"[4, 6]","[3, 6]",0.5
"[2, 4, 6]",[6],0.33333333333333337
[],[],1.0
"[2, 3, 6]","[2, 3, 6]",1.0
"[3, 6]","[3, 6]",1.0
[6],[6],1.0
[],[],1.0
"[4, 6]","[7, 3, 6]",0.33333333333333337
"[3, 4, 6]","[3, 6]",0.6666666666666667
[6],[6],1.0
[],[],1.0
"[3, 2, 3, 6]","[7, 3, 7, 3, 7, 3, 7, 3, 7, 3, 7, 3, 7, 3, 7, 3, 3, 7, 7, 3, 3, 3, 3, 7, 7, 3, 6]",0.11111111111111116
