prediction,truth,similarity
"[3, 11, 9]","[3, 11, 9]",1.0
"[11, 9]","[11, 9]",1.0
[9],[9],1.0
[],[],1.0
"[3, 10]","[3, 12, 3, 6, 7, 12, 3, 11, 3, 4, 6, 11, 9]",0.07692307692307687
[10],"[12, 3, 6, 7, 12, 3, 11, 3, 4, 6, 11, 9]",0.0
"[3, 11, 9]","[3, 6, 7, 12, 3, 11, 3, 4, 6, 11, 9]",0.2727272727272727
"[4, 11, 9]","[6, 7, 12, 3, 11, 3, 4, 6, 11, 9]",0.30000000000000004
"[11, 9]","[7, 12, 3, 11, 3, 4, 6, 11, 9]",0.2222222222222222
"[11, 9]","[12, 3, 11, 3, 4, 6, 11, 9]",0.25
"[3, 11, 9]","[3, 11, 3, 4, 6, 11, 9]",0.4285714285714286
"[11, 9]","[11, 3, 4, 6, 11, 9]",0.33333333333333337
[9],"[3, 4, 6, 11, 9]",0.19999999999999996
"[11, 9]","[4, 6, 11, 9]",0.5
"[11, 9]","[6, 11, 9]",0.6666666666666667
"[11, 9]","[11, 9]",1.0
[9],[9],1.0
[],[],1.0
"[3, 10]","[3, 4, 3, 12, 3, 2, 3, 7, 11, 9]",0.09999999999999998
[10],"[4, 3, 12, 3, 2, 3, 7, 11, 9]",0.0
"[3, 10]","[3, 12, 3, 2, 3, 7, 11, 9]",0.125
[10],"[12, 3, 2, 3, 7, 11, 9]",0.0
"[3, 2, 3, 7, 3, 11, 9]","[3, 2, 3, 7, 11, 9]",0.8571428571428572
"[2, 3, 7, 11, 9]","[2, 3, 7, 11, 9]",1.0
"[3, 7, 12, 3, 12, 3, 12, 3, 12, 3, 12, 3, 12, 3, 12, 3, 12, 3, 12, 3, 12, 3, 12, 3, 12, 3, 12, 3, 12, 3, 12, 3, 12, 3, 12, 3, 12, 3, 12, 3, 12, 3, 12, 3, 12, 3, 12, 3, 12, 3, 12, 3, 12, 3, 12, 3, 12, 3, 12, 3, 12, 3, 12, 3, 12, 3, 12, 3, 12, 3, 12, 3, 12, 3, 12, 3, 12, 3, 12, 3, 12, 3, 12, 3, 12, 3, 12, 3, 12, 3, 2, 3, 7, 11, 9]","[3, 7, 11, 9]",0.04210526315789476
"[7, 3, 11, 9]","[7, 11, 9]",0.75
"[3, 11, 9]","[11, 9]",0.6666666666666667
[9],[9],1.0
[],[],1.0
"[3, 10]","[3, 12, 3, 12, 3, 4, 3, 7, 3, 11, 9]",0.09090909090909094
[10],"[12, 3, 12, 3, 4, 3, 7, 3, 11, 9]",0.0
"[3, 7, 11, 9]","[3, 12, 3, 4, 3, 7, 3, 11, 9]",0.4444444444444444
"[7, 11, 9]","[12, 3, 4, 3, 7, 3, 11, 9]",0.375
"[3, 7, 11, 9]","[3, 4, 3, 7, 3, 11, 9]",0.5714285714285714
"[7, 11, 9]","[4, 3, 7, 3, 11, 9]",0.5
"[7, 11, 9]","[3, 7, 3, 11, 9]",0.6
"[11, 9]","[7, 3, 11, 9]",0.5
"[3, 11, 9]","[3, 11, 9]",1.0
"[11, 9]","[11, 9]",1.0
[9],[9],1.0
[],[],1.0
"[3, 10]","[3, 12, 3, 12, 3, 8, 8, 7, 8, 12, 3, 2, 3, 12, 3, 2, 3, 4, 11, 9]",0.050000000000000044
[10],"[12, 3, 12, 3, 8, 8, 7, 8, 12, 3, 2, 3, 12, 3, 2, 3, 4, 11, 9]",0.0
"[3, 11, 9]","[3, 12, 3, 8, 8, 7, 8, 12, 3, 2, 3, 12, 3, 2, 3, 4, 11, 9]",0.16666666666666663
"[7, 11, 9]","[12, 3, 8, 8, 7, 8, 12, 3, 2, 3, 12, 3, 2, 3, 4, 11, 9]",0.17647058823529416
"[3, 7, 11, 9]","[3, 8, 8, 7, 8, 12, 3, 2, 3, 12, 3, 2, 3, 4, 11, 9]",0.25
"[4, 7, 11, 9]","[8, 8, 7, 8, 12, 3, 2, 3, 12, 3, 2, 3, 4, 11, 9]",0.19999999999999996
"[11, 9]","[8, 7, 8, 12, 3, 2, 3, 12, 3, 2, 3, 4, 11, 9]",0.1428571428571429
"[11, 9]","[7, 8, 12, 3, 2, 3, 12, 3, 2, 3, 4, 11, 9]",0.15384615384615385
"[11, 9]","[8, 12, 3, 2, 3, 12, 3, 2, 3, 4, 11, 9]",0.16666666666666663
"[11, 9]","[12, 3, 2, 3, 12, 3, 2, 3, 4, 11, 9]",0.18181818181818177
"[3, 11, 9]","[3, 2, 3, 12, 3, 2, 3, 4, 11, 9]",0.30000000000000004
"[7, 11, 9]","[2, 3, 12, 3, 2, 3, 4, 11, 9]",0.2222222222222222
"[3, 4, 11, 9]","[3, 12, 3, 2, 3, 4, 11, 9]",0.5
"[4, 11, 9]","[12, 3, 2, 3, 4, 11, 9]",0.4285714285714286
"[3, 11, 9]","[3, 2, 3, 4, 11, 9]",0.5
"[4, 11, 9]","[2, 3, 4, 11, 9]",0.6
"[3, 4, 11, 9]","[3, 4, 11, 9]",1.0
"[4, 11, 9]","[4, 11, 9]",1.0
"[11, 9]","[11, 9]",1.0
[9],[9],1.0
[],[],1.0
"[3, 10]","[3, 12, 3, 12, 3, 12, 3, 12, 3, 2, 3, 7, 12, 3, 2, 3, 4, 7, 3, 11, 9]",0.04761904761904767
[10],"[12, 3, 12, 3, 12, 3, 12, 3, 2, 3, 7, 12, 3, 2, 3, 4, 7, 3, 11, 9]",0.0
"[3, 7, 11, 9]","[3, 12, 3, 12, 3, 12, 3, 2, 3, 7, 12, 3, 2, 3, 4, 7, 3, 11, 9]",0.21052631578947367
"[12, 3, 7, 3, 11, 9]","[12, 3, 12, 3, 12, 3, 2, 3, 7, 12, 3, 2, 3, 4, 7, 3, 11, 9]",0.33333333333333337
"[3, 7, 3, 11, 9]","[3, 12, 3, 12, 3, 2, 3, 7, 12, 3, 2, 3, 4, 7, 3, 11, 9]",0.2941176470588235
