prediction,truth,similarity
"[41, 40, 51, 50, 59, 58, 2, 33, 83, 82, 32, 37, 93, 92, 36]","[41, 40, 51, 50, 59, 58, 2, 33, 83, 82, 32, 5, 79, 78, 4, 25, 91, 90, 75, 74, 24, 37, 93, 45, 44, 92, 43, 42, 36]",0.5172413793103448
"[40, 51, 50, 59, 58, 2, 19, 18, 23, 73, 72, 22, 37, 93, 92, 36]","[40, 51, 50, 59, 58, 2, 33, 83, 82, 32, 5, 79, 78, 4, 25, 91, 90, 75, 74, 24, 37, 93, 45, 44, 92, 43, 42, 36]",0.3571428571428571
"[51, 50, 59, 58, 2, 7, 55, 54, 77, 76, 53, 52, 6, 37, 93, 92, 36]","[51, 50, 59, 58, 2, 33, 83, 82, 32, 5, 79, 78, 4, 25, 91, 90, 75, 74, 24, 37, 93, 45, 44, 92, 43, 42, 36]",0.33333333333333337
"[50, 59, 58, 2, 33, 83, 82, 32, 37, 93, 92, 36]","[50, 59, 58, 2, 33, 83, 82, 32, 5, 79, 78, 4, 25, 91, 90, 75, 74, 24, 37, 93, 45, 44, 92, 43, 42, 36]",0.46153846153846156
"[59, 58, 2, 33, 83, 82, 32, 37, 93, 92, 36]","[59, 58, 2, 33, 83, 82, 32, 5, 79, 78, 4, 25, 91, 90, 75, 74, 24, 37, 93, 45, 44, 92, 43, 42, 36]",0.43999999999999995
"[58, 11, 65, 64, 10, 39, 95, 45, 44, 94, 43, 42, 38]","[58, 2, 33, 83, 82, 32, 5, 79, 78, 4, 25, 91, 90, 75, 74, 24, 37, 93, 45, 44, 92, 43, 42, 36]",0.20833333333333337
"[2, 33, 83, 82, 32, 37, 93, 92, 36]","[2, 33, 83, 82, 32, 5, 79, 78, 4, 25, 91, 90, 75, 74, 24, 37, 93, 45, 44, 92, 43, 42, 36]",0.3913043478260869
"[33, 83, 82, 32, 13, 89, 63, 62, 61, 60, 45, 44, 88, 12, 25, 91, 45, 44, 90, 43, 42, 24]","[33, 83, 82, 32, 5, 79, 78, 4, 25, 91, 90, 75, 74, 24, 37, 93, 45, 44, 92, 43, 42, 36]",0.36363636363636365
"[83, 82, 32, 13, 89, 63, 62, 61, 60, 45, 44, 88, 12, 37, 93, 92, 36]","[83, 82, 32, 5, 79, 78, 4, 25, 91, 90, 75, 74, 24, 37, 93, 45, 44, 92, 43, 42, 36]",0.33333333333333337
"[82, 32, 37, 93, 92, 36]","[82, 32, 5, 79, 78, 4, 25, 91, 90, 75, 74, 24, 37, 93, 45, 44, 92, 43, 42, 36]",0.30000000000000004
"[32, 33, 83, 82, 32, 37, 93, 92, 36]","[32, 5, 79, 78, 4, 25, 91, 90, 75, 74, 24, 37, 93, 45, 44, 92, 43, 42, 36]",0.26315789473684215
"[13, 89, 63, 62, 61, 60, 45, 44, 88, 12, 37, 93, 92, 36]","[5, 79, 78, 4, 25, 91, 90, 75, 74, 24, 37, 93, 45, 44, 92, 43, 42, 36]",0.2222222222222222
"[79, 78, 4, 25, 91, 90, 75, 74, 24]","[79, 78, 4, 25, 91, 90, 75, 74, 24, 37, 93, 45, 44, 92, 43, 42, 36]",0.5294117647058824
"[78, 4, 37, 93, 92, 36]","[78, 4, 25, 91, 90, 75, 74, 24, 37, 93, 45, 44, 92, 43, 42, 36]",0.375
"[4, 13, 89, 63, 62, 88, 67, 66, 12, 39, 95, 45, 44, 94, 43, 42, 38]","[4, 25, 91, 90, 75, 74, 24, 37, 93, 45, 44, 92, 43, 42, 36]",0.2941176470588235
"[13, 89, 63, 62, 61, 60, 45, 44, 88, 12, 37, 93, 92, 36]","[25, 91, 90, 75, 74, 24, 37, 93, 45, 44, 92, 43, 42, 36]",0.0714285714285714
"[91, 90, 75, 74, 24]","[91, 90, 75, 74, 24, 37, 93, 45, 44, 92, 43, 42, 36]",0.3846153846153846
"[90, 75, 74, 24]","[90, 75, 74, 24, 37, 93, 45, 44, 92, 43, 42, 36]",0.33333333333333337
